Email Text,Email Type,Phishing,Ground Truth,Reasoning,Confidence
"Subject: Office maintenance

Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Avery Kim",Safe Email,no,no,"The email content does not exhibit common characteristics of a phishing attempt. It lacks urgent language, suspicious links, requests for sensitive information, or unusual sender behavior. The subject 'Office maintenance' and the body discussing analysis, changes, and PR comments suggest a legitimate work-related communication. The tone is professional, and the signature 'Avery Kim' appears normal. However, without additional context such as the sender's email address, domain, or any attachments, a small degree of uncertainty remains.",85
"Hello, your profile has been locked. Use the secure link to verify your username and restore access. Enter your verification code to continue.

Keywords: pin update password sign in settings password

Sincerely,
Riley Khan",Phishing Email,yes,yes,"The email content exhibits several characteristics of a phishing attempt. It creates a sense of urgency by claiming the recipient's profile is locked, which is a common tactic to prompt immediate action. The request to use a 'secure link' to verify the username and enter a verification code is suspicious, as legitimate organizations typically do not ask for sensitive information or direct users to links in unsolicited emails. Additionally, the generic greeting 'Hello' without personalization and the lack of specific branding or official contact information further suggest this is not from a legitimate source. The keywords provided (pin, update, password, sign in, settings) align with common phishing themes of credential theft. However, the email does not contain explicit malicious links or attachments in the provided text, which slightly lowers the certainty.",85
"Hi there, congratulations! You are the winner of a refund. To collect your gift of $10,000, please provide your credit card to process the sum. This offer is available today only.

Keywords: million contest ssn

Security Team,
Alex Khan",Phishing Email,yes,yes,"The email content exhibits several red flags commonly associated with phishing attempts. Firstly, it claims the recipient has won a large sum of money ($10,000) without any prior context or participation in a contest, which is a common tactic to lure victims. Secondly, it requests sensitive information (credit card details) under the pretext of processing the refund, which is a hallmark of phishing scams aiming to steal financial data. Thirdly, the urgency implied by 'this offer is available today only' creates pressure to act quickly without proper verification, another typical phishing strategy. Additionally, the sender's name 'Alex Khan' and the generic 'Security Team' signature do not provide verifiable contact information or a legitimate organizational affiliation. While the keywords 'million contest ssn' mentioned in the query are not directly present in the email content, the overall tone and request for personal information align with phishing characteristics.",90
"Attention, this is the fraud prevention accounts team. There are security violations on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a suspension.

Keywords: mcafee telegram violations official apple

Compliance Team,
Alex Martinez",Phishing Email,,yes,Error: Invalid or no response from xAI Grok API. Response: No response,
"Notice, your profile has been restricted. Use the secure link to reset password and restore access. Enter your 2FA code to continue.

Keywords: forgot password preferences settings

IT Desk,
Sam Singh",Phishing Email,,yes,Error: Invalid or no response from xAI Grok API. Response: No response,
"Attention, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: don't wait, expire, instantly, expires midnight, last chance, hurry

Support Desk,
Jamie Khan",Phishing Email,,yes,Error: Invalid or no response from xAI Grok API. Response: No response,
"Subject: Training session notes

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Let me know if the timing works for you.

Best,
Alex Khan",Safe Email,no,no,"The email content appears to be a legitimate communication regarding a training session. It includes a specific subject line ('Training session notes'), a clear purpose (confirming a lab booking for next Wednesday with a calendar invite), and a personal sign-off ('Best, Alex Khan'). There are no suspicious elements such as urgent requests, requests for sensitive information, unfamiliar sender names, or links to external websites. Additionally, the tone and context are consistent with typical workplace or academic communication.",90
"Subject: Meeting follow-up

Thanks for attending the workshop. Here are links to references and the slide deck.

Feel free to add notes before we meet.

Best,
Casey Singh",Safe Email,no,no,"The email content appears to be a legitimate follow-up to a meeting or workshop. It includes a subject line relevant to a professional context ('Meeting follow-up'), a polite tone, and a reference to shared materials (links to references and a slide deck) which is common in professional communication. There are no overt red flags such as urgent requests for personal information, suspicious links with odd URLs, or grammatical errors that are often indicative of phishing attempts. However, caution is still advised as phishing emails can sometimes mimic legitimate communication. The recipient should verify the sender's identity and the authenticity of any links before clicking.",20
"Subject: Research discussion

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Let me know if the timing works for you.

Best,
Taylor Wong",Safe Email,no,no,"The email content does not exhibit common characteristics of a phishing attempt. It lacks suspicious elements such as urgent requests for personal information, links to external websites, or attachments that could contain malware. The subject line 'Research discussion' and the body of the email appear to be related to a legitimate professional context, discussing an agenda and requesting feedback on timing. The sender's name, Taylor Wong, is provided, and the tone is formal and appropriate for a workplace setting. However, without additional context such as the sender's email address, domain, or any attachments/links, it is not possible to completely rule out phishing. The analysis is based solely on the provided content.",20
"Attention, your account has been restricted. Use the secure link to reset password and restore access. Enter your 2FA code to continue.

Keywords: forgot password profile two factor activation code passcode

Sincerely,
Riley Lee",Phishing Email,yes,yes,"The email content exhibits several characteristics commonly associated with phishing attempts. Firstly, it creates a sense of urgency by claiming the account has been restricted, which is a tactic often used to prompt immediate action without critical thinking. Secondly, it includes a generic call-to-action to use a 'secure link' to reset the password, but does not provide specific details about the account or service, nor does it come from a recognizable or verifiable sender domain. Thirdly, the request for a 2FA code is highly suspicious, as legitimate organizations typically do not ask for such sensitive information via email. The use of keywords like 'forgot password' and 'two factor activation code' aligns with common phishing lures to trick users into divulging personal information. Lastly, the sign-off from 'Riley Lee' lacks a professional signature or affiliation with a specific company, which further raises doubts about its authenticity.",85
