Email Text,Email Type,Phishing,Ground Truth,Reasoning,Confidence
"Subject: Office maintenance

Thanks for your help on the analysis. I've pushed the changes and left comments in the PR for clarity.

Let me know if the timing works for you.

Best,
Avery Kim",Safe Email,no,no,"It reads as a normal internal dev email about PR comments and timing; no links, requests for sensitive data, or urgent action.",85
"Hello, your profile has been locked. Use the secure link to verify your username and restore access. Enter your verification code to continue.

Keywords: pin update password sign in settings password

Sincerely,
Riley Khan",Phishing Email,yes,yes,Urgent lockout message asking to click a link and enter a code; lacks verified sender/branding.,85
"Hi there, congratulations! You are the winner of a refund. To collect your gift of $10,000, please provide your credit card to process the sum. This offer is available today only.

Keywords: million contest ssn

Security Team,
Alex Khan",Phishing Email,yes,yes,"Contains request for credit card details for a supposed prize; unsolicited, urgent, and uses common scam cues.",92
"Attention, this is the fraud prevention accounts team. There are security violations on your account. To remain in good standing, follow the confidential steps to review your account today. Failure to respond may result in a suspension.

Keywords: mcafee telegram violations official apple

Compliance Team,
Alex Martinez",Phishing Email,yes,yes,Urgent security warning requesting action to review account with threats of suspension and no verifiable sender details.,85
"Notice, your profile has been restricted. Use the secure link to reset password and restore access. Enter your 2FA code to continue.

Keywords: forgot password preferences settings

IT Desk,
Sam Singh",Phishing Email,yes,yes,"It asks for a password reset via a link and a 2FA code, a common phishing tactic; legitimate notices usually don’t request 2FA codes.",85
"Attention, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: don't wait, expire, instantly, expires midnight, last chance, hurry

Support Desk,
Jamie Khan",Phishing Email,yes,yes,"The message uses urgent, time-sensitive language and a generic sign-off with no verifiable details, prompting immediate action.",78
"Subject: Training session notes

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Let me know if the timing works for you.

Best,
Alex Khan",Safe Email,no,no,"It's a straightforward scheduling note with no links, no requests for sensitive information, and no sense of urgency or threats.",85
"Subject: Meeting follow-up

Thanks for attending the workshop. Here are links to references and the slide deck.

Feel free to add notes before we meet.

Best,
Casey Singh",Safe Email,no,no,It's a routine follow-up email with references; no request for sensitive data or urgent action; no suspicious links are shown.,75
"Subject: Research discussion

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Let me know if the timing works for you.

Best,
Taylor Wong",Safe Email,no,no,"Routine professional message about reviewing an updated agenda; no links, attachments, or requests for sensitive data.",70
"Attention, your account has been restricted. Use the secure link to reset password and restore access. Enter your 2FA code to continue.

Keywords: forgot password profile two factor activation code passcode

Sincerely,
Riley Lee",Phishing Email,yes,yes,Urgent password reset request asking for a 2FA code; legitimate providers do not ask for 2FA codes via email.,90
"Subject: Classroom logistics

Sharing the revised documentation with examples. The new endpoints are described in section two.

Appreciate your feedback on this draft.

Best,
Sam Martinez",Safe Email,no,no,"It's a routine internal update about documentation and endpoints; no suspicious links, urgency, or credential requests.",75
"Dear customer, your account requires verification. To restore access, reset your password and enter your username, 2FA verification code, and recovery key.

Keywords: security question, recover account, password, log in, signin

Regards,
Jordan Patel",Phishing Email,yes,yes,"It asks for username, 2FA code, and recovery key via email with a generic greeting; legitimate providers wouldn't request this sensitive data through email.",85
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: afghanistan, love, oil rig

Regards,
Alex Khan",Phishing Email,yes,yes,It's a classic scam asking for a temporary loan with urgency; sender unverifiable and details vague.,85
"Attention, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: remembered you, sincere, doctor, soulmate, businessman

Support Desk,
Cameron Singh",Phishing Email,yes,yes,Unsolicited loan request with urgent tone and unverifiable details; classic phishing/social-engineering tactic.,85
"Hello, congratulations! You are the winner of a prize. To collect your payment of ₹80,000, please provide your credit card to process the total. This offer is available today only.

Keywords: winner deal reward million

Account Services,
Avery Garcia",Phishing Email,yes,yes,"It asks for credit card details to claim a prize and uses urgency ('today only'), a common phishing tactic.",85
"Subject: Onboarding checklist

Hi team, sharing notes from today's sync. Next steps are in the shared doc. Let me know your thoughts.

Feel free to add notes before we meet.

Best,
Avery Brown",Safe Email,no,no,"The message is a benign, generic team note with no links, requests for credentials, or urgency; no obvious signs of phishing.",85
"Hello, your account has been suspended. Use the secure link to update password and restore access. Enter your verification code to continue.

Keywords: authentication update password

IT Desk,
Taylor Brown",Phishing Email,yes,yes,"The email urges urgent password reset via a 'secure link' and asks for a verification code, a common phishing tactic; lacks verifiable details and uses a generic sign-off.",82
"Hello, we talked about meeting again after the conference. An unexpected situation came up during my business trip. My wallet was stolen at the hotel and payment verification failed. Could you help me with a temporary loan? I will transfer back next week.

Keywords: widow, charity gala, hotel, we met, money needed, transfer back

Regards,
Jordan Nguyen",Phishing Email,yes,yes,"The sender asks for a temporary loan with a promised repayment, cites a stolen wallet and urgent need, and uses personal context to pressure reciprocation—classic phishing/social-engineering attempt.",85
"Subject: Project update

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Appreciate your feedback on this draft.

Best,
Jamie Patel",Safe Email,no,no,It appears to be a routine internal project update with no suspicious links or requests for sensitive data.,75
"Hi there, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: act now, expires soon, ends soon, today only

Security Team,
Jordan Khan",Phishing Email,yes,yes,"The message uses urgent, time-sensitive language to prompt immediate action, lacks verifiable company context, and instructs following steps, a common phishing tactic.",85
"Notice, you have a new notification. Please click here to view the update. For your convenience, a link and attachment are included. Do not reply to this auto-generated message.

Keywords: alert, click here, notice, secret

Security Team,
Sam Wong",Phishing Email,yes,yes,"Contains a generic sender and a suspicious 'click here' link with an attachment, plus ""do not reply""—classic phishing lure.",85
"Notice, final warning. Failure to respond will block your account. Immediate action is required to avoid fine. Your case will be referred to the judge if unresolved.

Keywords: prosecution delete

Account Services,
Jordan Garcia",Phishing Email,yes,yes,"Urgent, threat-based language about fines/legal action with no verifiable sender details; generic warning common in phishing.",85
"Subject: Invoice confirmation

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

I'll share the slides later today.

Best,
Riley Singh",Safe Email,no,no,No suspicious elements; no links or credential/payment requests; seems like routine scheduling.,78
"Subject: Documentation review

Thanks for attending the workshop. Here are links to references and the slide deck.

I'll share the slides later today.

Best,
Cameron Lee",Safe Email,no,no,"It looks like a routine follow-up after a workshop, with no urgent demand or credential requests, and no visible malicious links in the content provided.",85
"Dear customer, this is an while supplies last notice regarding your account. Your access will be limited within 24 hours. To avoid interruption, complete the form now. This offer is time sensitive and expires midnight. Follow the instructions immediately.

Keywords: expires immediate don't wait time sensitive

Support Desk,
Casey Wong",Phishing Email,yes,yes,"Urgent, time-sensitive request to complete a form to avoid service interruption; generic sign-off and no verifiable branding.",78
"Dear user, this is an urgent notice regarding your account. Your access will expire soon. To avoid interruption, act now and follow the instructions immediately. This is time sensitive and ends soon.

Keywords: instantly, today only, while supplies last, expires, don't wait

Regards,
Riley Wong",Phishing Email,yes,yes,"Urgent, generic wording prompting immediate action with no verification.",85
"Subject: Welcome aboard

Sharing the revised documentation with examples. The new endpoints are described in section two.

Let me know if the timing works for you.

Best,
Alex Brown",Safe Email,no,no,"It seems like a legitimate internal update about revised docs and endpoints; there are no credential requests, suspicious links, or urgent actions.",85
"Dear user, the IT department detected a malware infection on your workstation. Run the antivirus scan and install the security patch from the provided link to fix the issue.

Keywords: tech support, issue, maintenance

Compliance Team,
Sam Singh",Phishing Email,yes,yes,"Uses generic greeting, claims malware, directs to a link to install a patch, with no verifiable sender or actual link—classic phishing cues.",85
"Dear user, I remembered you mentioning the children's hospital charity gala where we ran into each other. I'm a stranded traveler right now; the hotel is asking for payment verification to extend stay. If you could assist with an emergency loan, I can provide replacement cards soon—trust building is important to me.

Keywords: we talked about, financial request, unusual, payment verification, children's hospital

Security Team,
Taylor Brown",Phishing Email,yes,yes,"Unsolicited financial request from an unverified contact, urgency, asks for an emergency loan and payment verification—typical phishing/social-engineering cue.",85
"Subject: Onboarding checklist

Good morning, the updated agenda for next week is included below. Please check your items and add comments.

Feel free to add notes before we meet.

Best,
Avery Kim",Safe Email,no,no,"No obvious phishing cues; no links, attachments, or credential requests; appears like a routine onboarding/meeting note.",70
"Subject: Networking event details

I booked the lab for next Wednesday. The calendar invite includes location and equipment details.

Appreciate your feedback on this draft.

Best,
Avery Martinez",Safe Email,no,no,"No obvious phishing cues; message appears internal, about scheduling and feedback, with no requests for sensitive data or malicious links.",85
"Attention, this is the irs compliance team. There are security concerns on your account. To remain in good standing, follow the official steps to review your account today. Failure to respond may result in a hold.

Keywords: official twitter

Sincerely,
Jordan Lee",Phishing Email,yes,yes,"It impersonates the IRS, uses fear-based urgency to prompt action, and cites ""official steps"" without a legitimate channel; the odd ""Keywords: official twitter"" and generic sign-off are red flags.",85
