Email Text,Email Type,Phishing,Ground Truth,Reasoning,Confidence
"Dear Jordan, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email,yes,no,"Generic renewal notification without specifying the service, a common tactic to trick recipients into clicking for details or calling a fake support number.",85
"Dear Casey, thank you for your purchase. Your order will be shipped soon.",Safe Email,no,no,"Content is a generic purchase confirmation, lacking malicious links or requests for sensitive information.",95
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Phishing Email,yes,yes,"Unsolicited prize notification with a call to action to click a link, a common phishing tactic to steal info or install malware.",100
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"Generic sender, urgent call to action via link, common phishing tactic.",95
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,Generic request for personal information for a package without specific details or secure method.,100
"Hi Drew, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email,no,no,"The email is a generic, polite follow-up message with no suspicious links, requests for personal information, or indicators of malicious intent.",95
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"Asks for personal information to confirm a pending delivery, which is a common tactic to collect sensitive data.",100
"Hi Alex, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email,no,no,"This is a standard, benign message for a follow-up after a meeting, with no suspicious links, requests for sensitive information, or urgent demands.",100
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,"Creates urgency/fear (""unusual login attempt"") and directs the user to click a link, typical of credential harvesting attempts.",100
Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email,yes,yes,"The email is generic and doesn't name the service, a common phishing tactic to lure users into clicking a malicious link.",95
"Hello Alex, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email,no,no,"The content is generic, personalized, and professional, lacking typical phishing indicators such as suspicious links, urgent requests for sensitive information, or grammatical errors.",90
Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email,yes,yes,"The email is generic, lacking specific details about the service or company, which is a common characteristic of broad phishing attempts.",95
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"Vague delivery notification, creates urgency, and asks for ""personal information"" without context or company name, which is a common phishing tactic.",95
"Dear John, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email,yes,no,"Generic event invite with a call to action to ""register"" is a common social engineering tactic in phishing, luring users to click a potentially malicious link not provided here.",60
"Dear Sam, thank you for your purchase. Your order will be shipped soon.",Safe Email,no,no,"It is a generic transactional email without suspicious links, requests for information, or other common phishing indicators.",95
"Hi Morgan, please find the attached report for this month's performance review.",Safe Email,yes,no,This is a common lure used to trick recipients into opening a potentially malicious attachment.,85
"Hi Morgan, please find the attached report for this month's performance review.",Safe Email,yes,no,"Generic business pretext with an attached file, commonly used in phishing campaigns to deliver malware or malicious links.",85
"Hi Casey, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,"Standard professional reminder about a deadline, no suspicious links, requests for info, or grammar errors.",95
"Hi John, please find the attached report for this month's performance review.",Safe Email,yes,no,"The content uses social engineering by appearing legitimate to induce opening an attachment, a common tactic in phishing to deliver malware.",90
Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email,yes,no,"The email implies an attachment, a common vector for malware delivery in phishing attacks.",85
Reminder: Our meeting is scheduled for tomorrow at 10 AM. Please be prepared with your updates.,Safe Email,no,no,"This is a standard meeting reminder with no suspicious elements, requests for information, or links.",100
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,"Creates urgency (""Important"", ""avoid service interruption"") and demands an action (""Update your email account settings""), a common phishing tactic.",90
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"Impersonates a bank and prompts clicking a link, a common phishing tactic.",95
Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email,yes,no,"Uses an attachment, a very common vector for delivering malware or malicious files in phishing attempts, and relies on context for legitimacy.",85
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,"Creates urgency (""Alert"", ""Unusual login"") and prompts clicking a link for ""verification,"" a classic phishing method to steal credentials.",100
