Email Text,Email Type,Phishing,Ground Truth,Reasoning,Confidence
"Dear Jordan, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email,no,no,"Neutral renewal confirmation with no links, requests for personal data, or urgent action cues.",70
"Dear Casey, thank you for your purchase. Your order will be shipped soon.",Safe Email,no,no,A generic transactional message with no requests for data or links; not enough to flag as phishing.,75
Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Phishing Email,yes,yes,Unsolicited prize claim with a click link; unlikely legitimate.,92
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,Generic lure claiming a bank message and asking to click a link; lacks verifiable sender/details.,75
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,,yes,Error: Invalid or no response from OpenAI API. Response: No response,
"Hi Drew, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email,no,no,"It is a brief, benign networking outreach with no requests for sensitive information, money, or links.",75
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"It requests personal information to confirm delivery, a typical phishing tactic.",90
"Hi Alex, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email,no,no,"It's a neutral networking email with no suspicious cues (no links, requests for sensitive information, or urgent tone).",85
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,Urgent security alert asking to click a link to verify your account; lacks verifiable sender information.,85
Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email,yes,yes,Urgent renewal prompt with generic wording and no verifiable sender/account details; common phishing tactic.,70
"Hello Alex, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email,no,no,"Content is a neutral, generic project update with no links, attachments, or urgent/credential-asking requests; could be legitimate internal email.",75
Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email,yes,yes,Urgency to renew a subscription with generic wording is a common phishing tactic.,70
Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email,yes,yes,"It requests personal information under urgency to confirm delivery, a classic phishing tactic.",90
"Dear John, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email,no,no,"It reads as a generic webinar invitation with no credential requests, urgency, or suspicious links evident in the text.",65
"Dear Sam, thank you for your purchase. Your order will be shipped soon.",Safe Email,no,no,This resembles a standard transactional email with no suspicious requests or links.,85
"Hi Morgan, please find the attached report for this month's performance review.",Safe Email,no,no,Generic workplace message with no obvious phishing cues in the text; legitimacy depends on sender and attachment source.,60
"Hi Morgan, please find the attached report for this month's performance review.",Safe Email,no,no,"This appears to be a routine internal email about an attached report; there are no suspicious links, urgent demands, or credential requests in the text.",70
"Hi Casey, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email,no,no,Neutral deadline reminder with no requests for sensitive data or links.,90
"Hi John, please find the attached report for this month's performance review.",Safe Email,no,no,"No obvious phishing indicators in the short text (no malicious links, no credential requests; could be a legitimate internal report email).",65
Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email,no,no,"It’s a generic, non-urgent note about an attachment with no requests for sensitive data or links.",85
Reminder: Our meeting is scheduled for tomorrow at 10 AM. Please be prepared with your updates.,Safe Email,no,no,"Generic meeting reminder with no links, attachments, or requests for sensitive information.",85
Important: Update your email account settings to avoid service interruption.,Phishing Email,yes,yes,"Urgent-sounding notice to ""update your email account settings"" without identifying the sender or legitimate channel; a common phishing tactic to prompt credential entry or clicking malicious links.",65
You have a new secure message from your bank. Click here to read it.,Phishing Email,yes,yes,"Generic prompt to click a link claiming a bank message; lacks verification or personalization, a common phishing tactic.",85
Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email,no,no,"The content is a neutral business email about attached minutes, with no suspicious links or data requests.",70
Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email,yes,yes,"Urgent alert to click a link to ""verify"" an account is a classic phishing tactic; lacks verifiable sender info.",85
